current time 20230518_185959
creating new summary file
argv: ['--local_rank=0', '--logdir=./checkpoints', '--dataset=dtu_yao', '--trainpath=/media/yons/10T1/wanglina/cas_training/dtu', '--ndepths', '48,32,8', '--depth_inter_r', '4,2,1', '--dlossw', '0.5,1.0,2.0', '--batch_size', '2', '--eval_freq', '3', '--trainlist', 'lists/dtu/train.txt', '--testlist', 'lists/dtu/test.txt', '--cost_aggregation', '91', '--numdepth=192']
################################  args  ################################
mode      	train                         	<class 'str'>       
model     	mvsnet                        	<class 'str'>       
device    	cuda                          	<class 'str'>       
datafile  	tank                          	<class 'str'>       
dataset   	dtu_yao                       	<class 'str'>       
trainpath 	/media/yons/10T1/wanglina/cas_training/dtu	<class 'str'>       
testpath  	/media/yons/10T1/wanglina/cas_training/dtu	<class 'str'>       
trainlist 	lists/dtu/train.txt           	<class 'str'>       
testlist  	lists/dtu/test.txt            	<class 'str'>       
epochs    	30                            	<class 'int'>       
lr        	0.001                         	<class 'float'>     
lrepochs  	10,12,14:2                    	<class 'str'>       
wd        	0.0                           	<class 'float'>     
batch_size	2                             	<class 'int'>       
numdepth  	192                           	<class 'int'>       
interval_scale	1.06                          	<class 'float'>     
loadckpt  	None                          	<class 'NoneType'>  
logdir    	./checkpoints                 	<class 'str'>       
resume    	False                         	<class 'bool'>      
summary_freq	50                            	<class 'int'>       
save_freq 	1                             	<class 'int'>       
eval_freq 	3                             	<class 'int'>       
seed      	1                             	<class 'int'>       
pin_m     	False                         	<class 'bool'>      
local_rank	0                             	<class 'int'>       
cost_aggregation	91                            	<class 'str'>       
share_cr  	False                         	<class 'bool'>      
ndepths   	48,32,8                       	<class 'str'>       
depth_inter_r	4,2,1                         	<class 'str'>       
dlossw    	0.5,1.0,2.0                   	<class 'str'>       
cr_base_chs	8,8,8                         	<class 'str'>       
grad_method	detach                        	<class 'str'>       
using_apex	False                         	<class 'bool'>      
sync_bn   	False                         	<class 'bool'>      
opt_level 	O0                            	<class 'str'>       
keep_batchnorm_fp32	None                          	<class 'NoneType'>  
loss_scale	None                          	<class 'NoneType'>  
########################################################################
self.mode train
self.datafile tank
self.cost_aggregation 91
**********netphs:[48, 32, 8], depth_intervals_ratio:[4.0, 2.0, 1.0],  grad:detach, chs:[8, 8, 8]************
*************feature extraction arch mode:fpn****************
start at epoch 0
Number of model parameters: 924303
Let's use 2 GPUs!
mvsdataset kwargs {}
dataset train metas: 27097
mvsdataset kwargs {}
dataset test metas: 7546
Epoch 0:
Epoch 0/30, Iter 0/13548, lr 0.000335, train loss = 250.737, depth loss = 71.649, time = 4.978
Epoch 0/30, Iter 1250/13548, lr 0.001000, train loss = 44.860, depth loss = 12.048, time = 0.621
Epoch 0/30, Iter 1300/13548, lr 0.001000, train loss = 55.502, depth loss = 15.211, time = 0.638
Epoch 0/30, Iter 1350/13548, lr 0.001000, train loss = 41.835, depth loss = 11.278, time = 0.597
Epoch 0/30, Iter 1400/13548, lr 0.001000, train loss = 74.119, depth loss = 19.854, time = 0.624
Epoch 0/30, Iter 1450/13548, lr 0.001000, train loss = 75.971, depth loss = 21.773, time = 0.579
Epoch 0/30, Iter 1500/13548, lr 0.001000, train loss = 8.383, depth loss = 1.882, time = 0.628
Epoch 0/30, Iter 1550/13548, lr 0.001000, train loss = 29.851, depth loss = 7.980, time = 0.609
Epoch 0/30, Iter 1600/13548, lr 0.001000, train loss = 66.164, depth loss = 18.095, time = 0.617
Epoch 0/30, Iter 1650/13548, lr 0.001000, train loss = 26.857, depth loss = 7.134, time = 0.557
Epoch 0/30, Iter 1700/13548, lr 0.001000, train loss = 71.222, depth loss = 19.459, time = 0.624
Epoch 0/30, Iter 1750/13548, lr 0.001000, train loss = 52.658, depth loss = 14.411, time = 0.658
Epoch 0/30, Iter 1800/13548, lr 0.001000, train loss = 68.721, depth loss = 19.227, time = 0.608
Epoch 0/30, Iter 1850/13548, lr 0.001000, train loss = 69.684, depth loss = 19.205, time = 0.655
Epoch 0/30, Iter 1900/13548, lr 0.001000, train loss = 137.122, depth loss = 38.110, time = 0.637
Epoch 0/30, Iter 1950/13548, lr 0.001000, train loss = 95.545, depth loss = 26.728, time = 0.603
Epoch 0/30, Iter 2000/13548, lr 0.001000, train loss = 46.637, depth loss = 12.500, time = 0.618
Epoch 0/30, Iter 2050/13548, lr 0.001000, train loss = 30.701, depth loss = 8.160, time = 0.640
Epoch 0/30, Iter 2100/13548, lr 0.001000, train loss = 42.190, depth loss = 11.590, time = 0.625
Epoch 0/30, Iter 2150/13548, lr 0.001000, train loss = 66.823, depth loss = 18.681, time = 0.604
Epoch 0/30, Iter 2200/13548, lr 0.001000, train loss = 17.117, depth loss = 4.477, time = 0.624
Epoch 0/30, Iter 2250/13548, lr 0.001000, train loss = 70.679, depth loss = 19.606, time = 0.611
Epoch 0/30, Iter 2300/13548, lr 0.001000, train loss = 42.318, depth loss = 11.347, time = 0.595
Epoch 0/30, Iter 2350/13548, lr 0.001000, train loss = 66.539, depth loss = 18.062, time = 0.569
Epoch 0/30, Iter 2400/13548, lr 0.001000, train loss = 39.564, depth loss = 10.900, time = 0.518
Epoch 0/30, Iter 2450/13548, lr 0.001000, train loss = 14.938, depth loss = 3.964, time = 0.567
Epoch 0/30, Iter 2500/13548, lr 0.001000, train loss = 55.571, depth loss = 15.420, time = 0.641
Epoch 0/30, Iter 2550/13548, lr 0.001000, train loss = 53.636, depth loss = 14.441, time = 0.617
Epoch 0/30, Iter 2600/13548, lr 0.001000, train loss = 69.093, depth loss = 19.530, time = 0.602
Epoch 0/30, Iter 2650/13548, lr 0.001000, train loss = 19.281, depth loss = 5.098, time = 0.604
Epoch 0/30, Iter 2700/13548, lr 0.001000, train loss = 39.405, depth loss = 10.829, time = 0.678
Epoch 0/30, Iter 2750/13548, lr 0.001000, train loss = 24.266, depth loss = 6.608, time = 0.648
Epoch 0/30, Iter 2800/13548, lr 0.001000, train loss = 38.154, depth loss = 9.833, time = 0.608
Epoch 0/30, Iter 2850/13548, lr 0.001000, train loss = 60.322, depth loss = 15.463, time = 0.589
Epoch 0/30, Iter 2900/13548, lr 0.001000, train loss = 28.497, depth loss = 7.823, time = 0.661
Epoch 0/30, Iter 2950/13548, lr 0.001000, train loss = 18.041, depth loss = 4.697, time = 0.617
Epoch 0/30, Iter 3000/13548, lr 0.001000, train loss = 35.187, depth loss = 9.500, time = 0.593
Epoch 0/30, Iter 3050/13548, lr 0.001000, train loss = 26.807, depth loss = 7.467, time = 0.603
Epoch 0/30, Iter 3100/13548, lr 0.001000, train loss = 11.434, depth loss = 2.940, time = 0.605
Epoch 0/30, Iter 3150/13548, lr 0.001000, train loss = 38.816, depth loss = 10.492, time = 0.601
Epoch 0/30, Iter 3200/13548, lr 0.001000, train loss = 11.542, depth loss = 2.860, time = 0.629
Epoch 0/30, Iter 3250/13548, lr 0.001000, train loss = 59.734, depth loss = 16.647, time = 0.606
Epoch 0/30, Iter 3300/13548, lr 0.001000, train loss = 21.983, depth loss = 5.781, time = 0.616
Epoch 0/30, Iter 3350/13548, lr 0.001000, train loss = 34.866, depth loss = 9.357, time = 0.600
Epoch 0/30, Iter 3400/13548, lr 0.001000, train loss = 45.422, depth loss = 12.293, time = 0.650
Epoch 0/30, Iter 3450/13548, lr 0.001000, train loss = 41.607, depth loss = 10.719, time = 0.602
Epoch 0/30, Iter 3500/13548, lr 0.001000, train loss = 36.481, depth loss = 10.076, time = 0.632
Epoch 0/30, Iter 3550/13548, lr 0.001000, train loss = 21.929, depth loss = 5.838, time = 0.638
Epoch 0/30, Iter 3600/13548, lr 0.001000, train loss = 26.951, depth loss = 7.269, time = 0.625
Epoch 0/30, Iter 3650/13548, lr 0.001000, train loss = 57.729, depth loss = 16.127, time = 0.671
Epoch 0/30, Iter 3700/13548, lr 0.001000, train loss = 27.000, depth loss = 7.251, time = 0.577
Epoch 0/30, Iter 3750/13548, lr 0.001000, train loss = 32.140, depth loss = 8.725, time = 0.637
Epoch 0/30, Iter 3800/13548, lr 0.001000, train loss = 58.971, depth loss = 16.053, time = 0.625
Epoch 0/30, Iter 3850/13548, lr 0.001000, train loss = 22.540, depth loss = 6.056, time = 0.592
Epoch 0/30, Iter 3900/13548, lr 0.001000, train loss = 14.135, depth loss = 3.553, time = 0.601
Epoch 0/30, Iter 3950/13548, lr 0.001000, train loss = 51.305, depth loss = 13.350, time = 0.580
Epoch 0/30, Iter 4000/13548, lr 0.001000, train loss = 24.819, depth loss = 6.095, time = 0.655
Epoch 0/30, Iter 4050/13548, lr 0.001000, train loss = 15.537, depth loss = 4.062, time = 0.639
Epoch 0/30, Iter 4100/13548, lr 0.001000, train loss = 15.595, depth loss = 3.840, time = 0.624
Epoch 0/30, Iter 4150/13548, lr 0.001000, train loss = 101.529, depth loss = 28.108, time = 0.599
Epoch 0/30, Iter 4200/13548, lr 0.001000, train loss = 17.314, depth loss = 4.361, time = 0.583
Epoch 0/30, Iter 4250/13548, lr 0.001000, train loss = 64.329, depth loss = 17.722, time = 0.620
Epoch 0/30, Iter 4300/13548, lr 0.001000, train loss = 29.665, depth loss = 8.088, time = 0.654
Epoch 0/30, Iter 4350/13548, lr 0.001000, train loss = 16.977, depth loss = 4.477, time = 0.632
Epoch 0/30, Iter 4400/13548, lr 0.001000, train loss = 24.100, depth loss = 6.375, time = 0.572
Epoch 0/30, Iter 4450/13548, lr 0.001000, train loss = 16.350, depth loss = 4.275, time = 0.594
Epoch 0/30, Iter 4500/13548, lr 0.001000, train loss = 46.392, depth loss = 12.583, time = 0.626
Epoch 0/30, Iter 4550/13548, lr 0.001000, train loss = 9.945, depth loss = 2.547, time = 0.643
Epoch 0/30, Iter 4600/13548, lr 0.001000, train loss = 10.039, depth loss = 2.398, time = 0.592
Epoch 0/30, Iter 4650/13548, lr 0.001000, train loss = 6.146, depth loss = 1.415, time = 0.579
Epoch 0/30, Iter 4700/13548, lr 0.001000, train loss = 29.652, depth loss = 8.009, time = 0.632
Epoch 0/30, Iter 4750/13548, lr 0.001000, train loss = 27.385, depth loss = 7.283, time = 0.637
Epoch 0/30, Iter 4800/13548, lr 0.001000, train loss = 30.214, depth loss = 8.058, time = 1.168
Epoch 0/30, Iter 4850/13548, lr 0.001000, train loss = 17.511, depth loss = 4.611, time = 0.919
Epoch 0/30, Iter 4900/13548, lr 0.001000, train loss = 13.048, depth loss = 3.454, time = 1.046
Epoch 0/30, Iter 4950/13548, lr 0.001000, train loss = 27.371, depth loss = 7.440, time = 0.976
Epoch 0/30, Iter 5000/13548, lr 0.001000, train loss = 31.906, depth loss = 8.392, time = 0.951
Epoch 0/30, Iter 5050/13548, lr 0.001000, train loss = 26.522, depth loss = 6.508, time = 0.952
Epoch 0/30, Iter 5100/13548, lr 0.001000, train loss = 14.613, depth loss = 3.752, time = 0.921
Epoch 0/30, Iter 5150/13548, lr 0.001000, train loss = 53.201, depth loss = 14.602, time = 1.068
Epoch 0/30, Iter 5200/13548, lr 0.001000, train loss = 42.594, depth loss = 11.755, time = 1.170
Epoch 0/30, Iter 5250/13548, lr 0.001000, train loss = 17.891, depth loss = 4.795, time = 0.998
Epoch 0/30, Iter 5300/13548, lr 0.001000, train loss = 14.199, depth loss = 3.636, time = 1.111
Epoch 0/30, Iter 5350/13548, lr 0.001000, train loss = 11.769, depth loss = 2.840, time = 1.106
Epoch 0/30, Iter 5400/13548, lr 0.001000, train loss = 134.379, depth loss = 37.647, time = 1.074
Epoch 0/30, Iter 5450/13548, lr 0.001000, train loss = 30.134, depth loss = 8.062, time = 1.086
Epoch 0/30, Iter 5500/13548, lr 0.001000, train loss = 7.441, depth loss = 1.877, time = 1.123
Epoch 0/30, Iter 5550/13548, lr 0.001000, train loss = 27.768, depth loss = 7.491, time = 1.101
Epoch 0/30, Iter 5600/13548, lr 0.001000, train loss = 44.664, depth loss = 13.063, time = 1.109
Epoch 0/30, Iter 5650/13548, lr 0.001000, train loss = 18.175, depth loss = 4.811, time = 1.324
Epoch 0/30, Iter 5700/13548, lr 0.001000, train loss = 23.778, depth loss = 6.354, time = 1.276
Epoch 0/30, Iter 5750/13548, lr 0.001000, train loss = 58.832, depth loss = 16.487, time = 0.995
Epoch 0/30, Iter 5800/13548, lr 0.001000, train loss = 9.526, depth loss = 2.352, time = 1.004
Epoch 0/30, Iter 5850/13548, lr 0.001000, train loss = 7.883, depth loss = 1.863, time = 1.089
Epoch 0/30, Iter 5900/13548, lr 0.001000, train loss = 29.786, depth loss = 8.082, time = 1.108
Epoch 0/30, Iter 5950/13548, lr 0.001000, train loss = 20.984, depth loss = 4.961, time = 1.146
Epoch 0/30, Iter 6000/13548, lr 0.001000, train loss = 17.778, depth loss = 4.715, time = 1.225
Epoch 0/30, Iter 6050/13548, lr 0.001000, train loss = 12.626, depth loss = 3.180, time = 1.116
Epoch 0/30, Iter 6100/13548, lr 0.001000, train loss = 16.563, depth loss = 4.535, time = 1.169
Epoch 0/30, Iter 6150/13548, lr 0.001000, train loss = 46.059, depth loss = 12.825, time = 1.220
Epoch 0/30, Iter 6200/13548, lr 0.001000, train loss = 86.616, depth loss = 24.286, time = 0.985
Epoch 0/30, Iter 6250/13548, lr 0.001000, train loss = 23.249, depth loss = 6.105, time = 1.310
Epoch 0/30, Iter 6300/13548, lr 0.001000, train loss = 58.364, depth loss = 16.234, time = 0.982
Epoch 0/30, Iter 6350/13548, lr 0.001000, train loss = 67.016, depth loss = 18.665, time = 0.734
Epoch 0/30, Iter 6400/13548, lr 0.001000, train loss = 20.119, depth loss = 5.335, time = 1.086
Epoch 0/30, Iter 6450/13548, lr 0.001000, train loss = 80.282, depth loss = 22.592, time = 1.054
Epoch 0/30, Iter 6500/13548, lr 0.001000, train loss = 45.835, depth loss = 12.534, time = 1.066
Epoch 0/30, Iter 6550/13548, lr 0.001000, train loss = 70.597, depth loss = 18.874, time = 1.074
Epoch 0/30, Iter 6600/13548, lr 0.001000, train loss = 55.471, depth loss = 14.450, time = 1.119
Epoch 0/30, Iter 6650/13548, lr 0.001000, train loss = 31.199, depth loss = 8.429, time = 1.040
Epoch 0/30, Iter 6700/13548, lr 0.001000, train loss = 24.389, depth loss = 6.519, time = 0.985
Epoch 0/30, Iter 6750/13548, lr 0.001000, train loss = 65.993, depth loss = 17.544, time = 0.602
Epoch 0/30, Iter 6800/13548, lr 0.001000, train loss = 35.602, depth loss = 9.326, time = 0.616
Epoch 0/30, Iter 6850/13548, lr 0.001000, train loss = 7.902, depth loss = 1.861, time = 0.579
Epoch 0/30, Iter 6900/13548, lr 0.001000, train loss = 20.121, depth loss = 5.485, time = 0.591
Epoch 0/30, Iter 6950/13548, lr 0.001000, train loss = 36.396, depth loss = 9.874, time = 0.615
Epoch 0/30, Iter 7000/13548, lr 0.001000, train loss = 15.052, depth loss = 3.714, time = 0.583
Epoch 0/30, Iter 7050/13548, lr 0.001000, train loss = 23.522, depth loss = 6.316, time = 0.556
Epoch 0/30, Iter 7100/13548, lr 0.001000, train loss = 8.189, depth loss = 2.005, time = 0.560
Epoch 0/30, Iter 7150/13548, lr 0.001000, train loss = 6.651, depth loss = 1.587, time = 0.578
Epoch 0/30, Iter 7200/13548, lr 0.001000, train loss = 11.044, depth loss = 2.847, time = 0.557
Epoch 0/30, Iter 7250/13548, lr 0.001000, train loss = 58.540, depth loss = 16.443, time = 0.595
Epoch 0/30, Iter 7300/13548, lr 0.001000, train loss = 11.625, depth loss = 2.970, time = 0.558
Epoch 0/30, Iter 7350/13548, lr 0.001000, train loss = 15.665, depth loss = 4.161, time = 0.587
Epoch 0/30, Iter 7400/13548, lr 0.001000, train loss = 41.504, depth loss = 11.529, time = 0.620
Epoch 0/30, Iter 7450/13548, lr 0.001000, train loss = 51.820, depth loss = 14.467, time = 0.640
Epoch 0/30, Iter 7500/13548, lr 0.001000, train loss = 39.609, depth loss = 10.847, time = 0.584
Epoch 0/30, Iter 7550/13548, lr 0.001000, train loss = 40.512, depth loss = 10.831, time = 0.558
Epoch 0/30, Iter 7600/13548, lr 0.001000, train loss = 19.750, depth loss = 4.740, time = 0.573
Epoch 0/30, Iter 7650/13548, lr 0.001000, train loss = 12.690, depth loss = 3.181, time = 0.613
Epoch 0/30, Iter 7700/13548, lr 0.001000, train loss = 13.692, depth loss = 3.518, time = 0.602
Epoch 0/30, Iter 7750/13548, lr 0.001000, train loss = 45.965, depth loss = 12.835, time = 0.621
Epoch 0/30, Iter 7800/13548, lr 0.001000, train loss = 22.524, depth loss = 5.987, time = 0.585
Epoch 0/30, Iter 7850/13548, lr 0.001000, train loss = 14.592, depth loss = 3.744, time = 0.609
Epoch 0/30, Iter 7900/13548, lr 0.001000, train loss = 23.563, depth loss = 6.261, time = 0.546
Epoch 0/30, Iter 7950/13548, lr 0.001000, train loss = 7.907, depth loss = 1.902, time = 0.604
Epoch 0/30, Iter 8000/13548, lr 0.001000, train loss = 39.990, depth loss = 11.224, time = 0.567
Epoch 0/30, Iter 8050/13548, lr 0.001000, train loss = 82.208, depth loss = 22.965, time = 0.612
Epoch 0/30, Iter 8100/13548, lr 0.001000, train loss = 18.861, depth loss = 4.964, time = 0.605
Epoch 0/30, Iter 8150/13548, lr 0.001000, train loss = 37.689, depth loss = 10.599, time = 0.522
Epoch 0/30, Iter 8200/13548, lr 0.001000, train loss = 42.067, depth loss = 11.441, time = 0.587
Epoch 0/30, Iter 8250/13548, lr 0.001000, train loss = 97.853, depth loss = 27.385, time = 0.607
Epoch 0/30, Iter 8300/13548, lr 0.001000, train loss = 71.147, depth loss = 20.120, time = 0.650
Epoch 0/30, Iter 8350/13548, lr 0.001000, train loss = 23.318, depth loss = 6.242, time = 0.579
Epoch 0/30, Iter 8400/13548, lr 0.001000, train loss = 22.089, depth loss = 5.984, time = 0.582
Epoch 0/30, Iter 8450/13548, lr 0.001000, train loss = 24.155, depth loss = 6.484, time = 0.610
Epoch 0/30, Iter 8500/13548, lr 0.001000, train loss = 22.877, depth loss = 5.747, time = 0.589
Epoch 0/30, Iter 8550/13548, lr 0.001000, train loss = 15.485, depth loss = 4.146, time = 0.566
Epoch 0/30, Iter 8600/13548, lr 0.001000, train loss = 216.508, depth loss = 60.917, time = 0.644
Epoch 0/30, Iter 8650/13548, lr 0.001000, train loss = 10.318, depth loss = 2.480, time = 0.567
Epoch 0/30, Iter 8700/13548, lr 0.001000, train loss = 17.980, depth loss = 4.906, time = 0.600
Epoch 0/30, Iter 8750/13548, lr 0.001000, train loss = 15.025, depth loss = 4.030, time = 0.566
Epoch 0/30, Iter 8800/13548, lr 0.001000, train loss = 75.874, depth loss = 19.838, time = 0.579
Epoch 0/30, Iter 8850/13548, lr 0.001000, train loss = 13.068, depth loss = 3.086, time = 0.610
Epoch 0/30, Iter 8900/13548, lr 0.001000, train loss = 65.110, depth loss = 18.300, time = 0.565
Epoch 0/30, Iter 8950/13548, lr 0.001000, train loss = 14.033, depth loss = 3.717, time = 0.599
Epoch 0/30, Iter 9000/13548, lr 0.001000, train loss = 20.476, depth loss = 5.212, time = 0.582
Epoch 0/30, Iter 9050/13548, lr 0.001000, train loss = 15.370, depth loss = 3.934, time = 0.594
Epoch 0/30, Iter 9100/13548, lr 0.001000, train loss = 13.992, depth loss = 3.604, time = 0.615
Epoch 0/30, Iter 9150/13548, lr 0.001000, train loss = 16.335, depth loss = 4.471, time = 0.626
Epoch 0/30, Iter 9200/13548, lr 0.001000, train loss = 33.800, depth loss = 9.145, time = 0.562
Epoch 0/30, Iter 9250/13548, lr 0.001000, train loss = 63.189, depth loss = 17.564, time = 0.559
Epoch 0/30, Iter 9300/13548, lr 0.001000, train loss = 10.067, depth loss = 2.362, time = 0.571
Epoch 0/30, Iter 9350/13548, lr 0.001000, train loss = 12.825, depth loss = 3.224, time = 0.598
Epoch 0/30, Iter 9400/13548, lr 0.001000, train loss = 27.648, depth loss = 6.674, time = 0.550
Epoch 0/30, Iter 9450/13548, lr 0.001000, train loss = 54.023, depth loss = 15.421, time = 0.538
Epoch 0/30, Iter 9500/13548, lr 0.001000, train loss = 24.933, depth loss = 6.650, time = 0.589
Epoch 0/30, Iter 9550/13548, lr 0.001000, train loss = 28.499, depth loss = 7.656, time = 0.597
Epoch 0/30, Iter 9600/13548, lr 0.001000, train loss = 46.215, depth loss = 12.408, time = 0.605
Epoch 0/30, Iter 9650/13548, lr 0.001000, train loss = 26.452, depth loss = 7.045, time = 0.586
Epoch 0/30, Iter 9700/13548, lr 0.001000, train loss = 9.539, depth loss = 2.358, time = 0.608
Epoch 0/30, Iter 9750/13548, lr 0.001000, train loss = 30.837, depth loss = 8.118, time = 0.605
Epoch 0/30, Iter 9800/13548, lr 0.001000, train loss = 26.153, depth loss = 7.099, time = 0.609
Epoch 0/30, Iter 9850/13548, lr 0.001000, train loss = 10.866, depth loss = 2.769, time = 0.608
Epoch 0/30, Iter 9900/13548, lr 0.001000, train loss = 21.796, depth loss = 5.934, time = 0.619
Epoch 0/30, Iter 9950/13548, lr 0.001000, train loss = 42.309, depth loss = 11.588, time = 0.594
Epoch 0/30, Iter 10000/13548, lr 0.001000, train loss = 8.691, depth loss = 2.213, time = 0.559
Epoch 0/30, Iter 10050/13548, lr 0.001000, train loss = 32.036, depth loss = 8.357, time = 0.561
Epoch 0/30, Iter 10100/13548, lr 0.001000, train loss = 83.436, depth loss = 23.548, time = 0.577
Epoch 0/30, Iter 10150/13548, lr 0.001000, train loss = 14.134, depth loss = 3.609, time = 0.617
Epoch 0/30, Iter 10200/13548, lr 0.001000, train loss = 29.428, depth loss = 7.909, time = 0.642
Epoch 0/30, Iter 10250/13548, lr 0.001000, train loss = 38.340, depth loss = 9.741, time = 0.615
Epoch 0/30, Iter 10300/13548, lr 0.001000, train loss = 11.022, depth loss = 2.809, time = 0.616
Epoch 0/30, Iter 10350/13548, lr 0.001000, train loss = 31.927, depth loss = 8.730, time = 0.569
Epoch 0/30, Iter 10400/13548, lr 0.001000, train loss = 3.835, depth loss = 0.870, time = 0.633
Epoch 0/30, Iter 10450/13548, lr 0.001000, train loss = 75.526, depth loss = 21.273, time = 0.676
Epoch 0/30, Iter 10500/13548, lr 0.001000, train loss = 24.906, depth loss = 6.534, time = 0.607
Epoch 0/30, Iter 10550/13548, lr 0.001000, train loss = 34.987, depth loss = 8.803, time = 0.624
Epoch 0/30, Iter 10600/13548, lr 0.001000, train loss = 15.665, depth loss = 4.041, time = 0.589
Epoch 0/30, Iter 10650/13548, lr 0.001000, train loss = 46.737, depth loss = 13.083, time = 0.573
Epoch 0/30, Iter 10700/13548, lr 0.001000, train loss = 38.169, depth loss = 10.420, time = 0.551
Epoch 0/30, Iter 10750/13548, lr 0.001000, train loss = 21.395, depth loss = 5.646, time = 0.587
